Model,Dataset,Dimension,Calsize,Coverage_mean,Coverage_std
dsr1,Dialsumm,fluency,0.5,0.8958095238095238,0.03825712728293597
dsr1,Dialsumm,fluency,0.75,0.8896059113300493,0.03597637820683277
dsr1,Dialsumm,fluency,1,0.900875,0.020772137132093145
dsr1,Dialsumm,relevance,0.25,0.8876354679802956,0.03696045452307544
dsr1,Dialsumm,relevance,0.5,0.8825714285714287,0.03271741547186056
dsr1,Dialsumm,relevance,0.75,0.8912244897959184,0.03157425179676017
dsr1,Dialsumm,relevance,1,0.8984166666666666,0.028982257751386707
dsr1,Summeval,coherence,0.25,0.8825446428571428,0.03219493961641741
dsr1,Summeval,coherence,0.5,0.9015948275862068,0.038300819053223675
dsr1,Summeval,coherence,0.75,0.8985096153846155,0.01931650599477436
dsr1,Summeval,coherence,1,0.9011637931034483,0.021281308434162375
dsr1,Summeval,consistency,0.25,0.8985775862068965,0.02756227554559367
dsr1,Summeval,consistency,0.5,0.8995982142857143,0.024990863079010748
dsr1,Summeval,consistency,0.75,0.8954017857142856,0.02806872677231814
dsr1,Summeval,consistency,1,0.9044396551724139,0.02093139891624855
dsr1,Summeval,fluency,0.25,0.8784583333333332,0.04414499441170194
dsr1,Summeval,fluency,0.5,0.8968333333333334,0.029442985035761766
dsr1,Summeval,fluency,0.75,0.8987916666666667,0.022479596432034215
dsr1,Summeval,fluency,1,0.900875,0.020772137132093145
dsr1,Summeval,relevance,0.25,0.8752586206896552,0.04769740384700031
dsr1,Summeval,relevance,0.5,0.8822916666666667,0.04268858177976654
dsr1,Summeval,relevance,0.75,0.8904583333333334,0.02858269033491442
dsr1,Summeval,relevance,1,0.8984166666666666,0.028982257751386707
qwen,Dialsumm,coherence,0.25,0.8872380952380952,0.05208926098100515
qwen,Dialsumm,coherence,0.5,0.8907142857142857,0.04295514246981835
qwen,Dialsumm,coherence,0.75,0.9028095238095237,0.02417530199121428
qwen,Dialsumm,coherence,1,0.8954310344827586,0.024837138859956642
qwen,Dialsumm,consistency,0.25,0.8767724867724868,0.048817400120931526
qwen,Dialsumm,consistency,0.5,0.8842857142857142,0.03817254061682112
qwen,Dialsumm,consistency,0.75,0.8933142857142857,0.026259821615778688
qwen,Dialsumm,consistency,1,0.9072844827586207,0.02021665289278103
qwen,Dialsumm,fluency,0.25,0.8835238095238096,0.04217809052892503
qwen,Dialsumm,fluency,0.5,0.8997619047619048,0.03551388768672589
qwen,Dialsumm,fluency,0.75,0.8866995073891626,0.03643978108497994
qwen,Dialsumm,fluency,1,0.9017499999999999,0.019207353117832296
qwen,Dialsumm,relevance,0.25,0.8833990147783252,0.056665626832329265
qwen,Dialsumm,relevance,0.5,0.8815238095238095,0.03261300029041736
qwen,Dialsumm,relevance,0.75,0.8948469387755101,0.03135233487073097
qwen,Dialsumm,relevance,1,0.9045416666666667,0.024919013940104557
qwen,Summeval,coherence,0.25,0.87625,0.054281928648287514
qwen,Summeval,coherence,0.5,0.8844396551724137,0.05186325836017239
qwen,Summeval,coherence,0.75,0.896298076923077,0.02851420867135974
qwen,Summeval,coherence,1,0.8954310344827586,0.024837138859956642
qwen,Summeval,consistency,0.25,0.8904741379310345,0.026768713816858445
qwen,Summeval,consistency,0.5,0.9037053571428572,0.0273554325950133
qwen,Summeval,consistency,0.75,0.9029017857142857,0.024746524193431436
qwen,Summeval,consistency,1,0.9072844827586207,0.02021665289278103
qwen,Summeval,fluency,0.25,0.8789583333333333,0.04467083072672917
qwen,Summeval,fluency,0.5,0.8964583333333334,0.03290052164803229
qwen,Summeval,fluency,0.75,0.9104583333333333,0.024248363198700485
qwen,Summeval,fluency,1,0.9017499999999999,0.019207353117832296
qwen,Summeval,relevance,0.25,0.8765948275862069,0.064757356648861
qwen,Summeval,relevance,0.5,0.8831249999999999,0.023655096228639753
qwen,Summeval,relevance,0.75,0.8957499999999999,0.025719390913579512
qwen,Summeval,relevance,1,0.9045416666666667,0.024919013940104557
