Model,Dataset,Dimension,Calsize,Coverage_mean,Coverage_std
4omini,Dialsumm,coherence,0.25,0.8872380952380952,0.05208926098100515
4omini,Dialsumm,coherence,0.5,0.8907142857142857,0.04295514246981835
4omini,Dialsumm,coherence,0.75,0.9028095238095237,0.02417530199121428
4omini,Dialsumm,coherence,1,0.8963392857142857,0.031191479597333954
4omini,Dialsumm,consistency,0.25,0.8767724867724868,0.048817400120931526
4omini,Dialsumm,consistency,0.5,0.8842857142857142,0.03817254061682112
4omini,Dialsumm,consistency,0.75,0.8933142857142857,0.026259821615778688
4omini,Dialsumm,consistency,1,0.9088333333333334,0.02492863376940655
4omini,Dialsumm,fluency,0.25,0.8835238095238096,0.04217809052892503
4omini,Dialsumm,fluency,0.5,0.8997619047619048,0.03551388768672589
4omini,Dialsumm,fluency,0.75,0.8866995073891626,0.03643978108497994
4omini,Dialsumm,fluency,1,0.8935833333333334,0.027142530354095407
4omini,Dialsumm,relevance,0.25,0.8833990147783252,0.056665626832329265
4omini,Dialsumm,relevance,0.5,0.8815238095238095,0.03261300029041736
4omini,Dialsumm,relevance,0.75,0.8948469387755101,0.03135233487073097
4omini,Dialsumm,relevance,1,0.897,0.02499482705101888
4omini,Summeval,coherence,0.25,0.87625,0.054281928648287514
4omini,Summeval,coherence,0.5,0.8844396551724137,0.05186325836017239
4omini,Summeval,coherence,0.75,0.896298076923077,0.02851420867135974
4omini,Summeval,coherence,1,0.8963392857142857,0.031191479597333954
4omini,Summeval,consistency,0.25,0.8904741379310345,0.026768713816858445
4omini,Summeval,consistency,0.5,0.9037053571428572,0.0273554325950133
4omini,Summeval,consistency,0.75,0.9029017857142857,0.024746524193431436
4omini,Summeval,consistency,1,0.9088333333333334,0.02492863376940655
4omini,Summeval,fluency,0.25,0.8789583333333333,0.04467083072672917
4omini,Summeval,fluency,0.5,0.8964583333333334,0.03290052164803229
4omini,Summeval,fluency,0.75,0.9104583333333333,0.024248363198700485
4omini,Summeval,fluency,1,0.8935833333333334,0.027142530354095407
4omini,Summeval,relevance,0.25,0.8765948275862069,0.064757356648861
4omini,Summeval,relevance,0.5,0.8831249999999999,0.023655096228639753
4omini,Summeval,relevance,0.75,0.8957499999999999,0.025719390913579512
4omini,Summeval,relevance,1,0.897,0.02499482705101888
dsr1,Dialsumm,coherence,0.25,0.8862857142857142,0.046176237373341554
dsr1,Dialsumm,coherence,0.5,0.8831428571428571,0.04307890082150122
dsr1,Dialsumm,coherence,0.75,0.8935714285714286,0.030141001040138306
dsr1,Dialsumm,coherence,1,0.9011637931034483,0.021281308434162375
dsr1,Dialsumm,consistency,0.25,0.8826984126984128,0.03834965411442415
dsr1,Dialsumm,consistency,0.5,0.8834391534391535,0.037050305780647004
dsr1,Dialsumm,consistency,0.75,0.8968571428571428,0.029758094994254507
dsr1,Dialsumm,consistency,1,0.9044396551724139,0.02093139891624855
dsr1,Dialsumm,fluency,0.25,0.9031428571428571,0.03554224572993515
