Model,Dataset,Dimension,Type,MSE,MSE,RMSE,RMSE,MAE,MAE,Spearman,Spearman,Kendall,Kendall,Pearson,Pearson
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
4omini,Dialsumm,coherence,Raw,3.7872010582010582,0.08645000880933054,1.9459508110443546,0.022202031521133283,1.7106507936507935,0.021102049159850696,0.20486208184208154,0.027025319933657938,0.17198332319351134,0.022043519480347565,0.28336483668453977,0.02486402338879947
4omini,Dialsumm,coherence,Weighted Sum,3.701023362217591,0.08214660909590867,1.9236902669559883,0.021313401233179874,1.6986439712687067,0.02089636489326404,0.2181463347741553,0.02596839236898239,0.1622260052396582,0.01904708425862024,0.2994050750154825,0.024290717461174394
4omini,Dialsumm,consistency,Raw,0.9997774598632966,0.03545218608746825,0.9997367348932593,0.017731350618422778,0.772277857256398,0.014945630463445303,0.6559258669803396,0.01846885692315719,0.5465003583840322,0.01648165634281507,0.6890973811163371,0.014078242060806554
4omini,Dialsumm,consistency,Weighted Sum,0.8248072550399743,0.028544547633663594,0.9080581270549775,0.015680855757589065,0.7038673451583818,0.013862488006905614,0.7015355871567546,0.01731415870854843,0.5460023546392089,0.014936136289058134,0.7376856151019383,0.012310730592795133
4omini,Dialsumm,fluency,Raw,2.1106666666666665,0.0653982521990584,1.4526439677344354,0.02256415385968148,1.1705714285714286,0.02031205456274324,0.3997298062349086,0.02016474007091752,0.3442901292699035,0.017671149946436374,0.45851393349298775,0.023089475173413452
4omini,Dialsumm,fluency,Weighted Sum,1.6878560914137644,0.04743676201223059,1.2990510734609455,0.018262453107759397,1.0657081070887726,0.017385887312520606,0.43361683469790085,0.020785336996136185,0.3384940940998369,0.016934969133480263,0.512165512663099,0.023710323568723
4omini,Dialsumm,relevance,Raw,1.2780112490714208,0.05590371268047986,1.1302269160224632,0.024879725226599377,0.873766316459726,0.019693022390100266,0.667963823686082,0.017438247550320328,0.5637319757685512,0.01607563883748161,0.6691902846877409,0.01756620310953418
4omini,Dialsumm,relevance,Weighted Sum,1.174704721835862,0.05037666371489061,1.0835933363641375,0.023419779949036486,0.8553197366525799,0.01915784224473261,0.7025486959971067,0.015866562242101517,0.5491629940990672,0.014808181370843205,0.6989933157958796,0.015587029851854296
4omini,GEval,cosmos,Raw,1.7799319727891156,0.1786329105646557,1.3325132499405352,0.06700806581940259,1.0438775510204081,0.06082145078988696,0.48339573810356756,0.04685934903060599,0.4062841914644048,0.04042883776486926,0.48714845763948955,0.049908412998846116
4omini,GEval,cosmos,Weighted Sum,1.7037501883751796,0.17338038693898458,1.303607110465009,0.06714901021364039,1.0651179591035973,0.057237443630638686,0.4902334981799992,0.04585805570372514,0.37092240167464535,0.036644250347392424,0.5067793422179593,0.04912777470831932
4omini,GEval,drop,Raw,1.8434920634920635,0.15738267679925602,1.356578872806536,0.05740802551438833,0.9514285714285714,0.050664518393411,0.4904249499299416,0.052267910393828214,0.4108713129466085,0.045257899714912175,0.5381987914417544,0.050408035113488264
4omini,GEval,drop,Weighted Sum,1.6513672708377343,0.13879229717001895,1.2839768251262125,0.05353809513710572,0.8937089177478365,0.04537918592724397,0.5160442287815473,0.04500789275595714,0.39097882253884186,0.03634108180191157,0.5794768265779094,0.047760163544085396
4omini,GEval,esnli,Raw,2.719298245614035,0.31677729146767253,1.6462517537514667,0.09730901126497914,1.2096491228070176,0.09815699053541813,0.33950796234998587,0.0849865117542244,0.2878546384666004,0.07186274248440302,0.34783873027619144,0.07812924860069054
4omini,GEval,esnli,Weighted Sum,2.609653023443699,0.30035205538068566,1.6128044121460114,0.09385398567432318,1.221363444244663,0.094090268657755,0.35734501524339407,0.08332414697294649,0.2727827081826383,0.0638494412793236,0.3441621566441085,0.08003562725637124
4omini,GEval,gsm8k,Raw,2.216,0.2800320178738188,1.4856533820223692,0.09559628736206316,0.9086666666666667,0.08613274972223194,0.5864244299551657,0.04502025690010726,0.5156331587573753,0.04157034950189951,0.5809937203863053,0.047503355969319594
4omini,GEval,gsm8k,Weighted Sum,2.169058200212955,0.2606723325785349,1.4700987088872828,0.09021804816511271,0.935656620164857,0.08181874630836568,0.57734817940771,0.03901772455239436,0.4579255238494739,0.03371904330294373,0.583973675469108,0.04498410463390011
4omini,SocREval,cosmos,Raw,1.9272108843537414,0.18302201566500037,1.3866851377559148,0.06681327361876802,1.0993197278911564,0.06612638743219247,0.4222717823908424,0.05901873137164537,0.35723182920042346,0.05176795612727975,0.42746496771945874,0.057951143360891494
4omini,SocREval,cosmos,Weighted Sum,1.7896901394565938,0.17301094074755585,1.3362455064646173,0.0654276587330563,1.0652227057589783,0.06248578272856174,0.4872283214020722,0.05329224131264642,0.36901810105524185,0.04363334777168534,0.47079713508114873,0.055582244367279356
4omini,SocREval,drop,Raw,2.9692063492063494,0.2821749396885093,1.7212336655870604,0.08238482654118714,1.2834920634920635,0.06350383032726453,0.20227390613660612,0.07601419856518728,0.16794441661880768,0.06199143793930957,0.2137850805127718,0.074015985175668
4omini,SocREval,drop,Weighted Sum,1.4078497062627016,0.17902321447160147,1.1841552762024314,0.07628884384010619,0.9046374538634905,0.06566782703274185,0.5632238310310055,0.05282434715092568,0.42937958768205614,0.044361130342114405,0.5930517559468036,0.05586564397820131
4omini,SocREval,esnli,Raw,1.0960526315789474,0.08722143956900193,1.0461272582934957,0.04156910782201766,0.8407894736842105,0.0442983204853428,0.5511485659019264,0.05379510494548876,0.4960080926910794,0.05010711993817286,0.6030004390171432,0.05685034454111816
4omini,SocREval,esnli,Weighted Sum,1.0538939028835204,0.0901894273097685,1.0256744475901611,0.044168530427704966,0.8486871961639836,0.04139319505766712,0.5744722378834892,0.05826700584350531,0.4600497979531278,0.05055548271178656,0.6226898219210851,0.0633532885007347
4omini,SocREval,gsm8k,Raw,4.1033333333333335,0.3093968920037969,2.024288827120122,0.07603137553332587,1.6126666666666667,0.07701022472791312,0.17349448645921922,0.0702775633398916,0.14785430845208258,0.060149717342121725,0.16101716794987656,0.06927452632744625
4omini,SocREval,gsm8k,Weighted Sum,1.6121670324256188,0.2325575898486835,1.2663689005171272,0.09364371342557871,0.7714868585756848,0.06409938846721729,0.648647229458145,0.04562282924463101,0.5230676273635763,0.03801083473677383,0.6898244081112569,0.04379470675544751
4omini,Summeval,coherence,Raw,1.7289305555555552,0.0645816302869428,1.3146665413259613,0.024546381296395716,1.0554027777777777,0.0218505907419609,0.446247102728111,0.02112761857558305,0.37343920105973055,0.01716907494779566,0.4526410488209904,0.02085754957257601
4omini,Summeval,coherence,Weighted Sum,1.642680192770927,0.062056394807353144,1.2814498901994462,0.02420540717777713,1.0367274752205,0.019810257941958846,0.5135258938291029,0.02093393981138177,0.3785505716659033,0.015052270137636006,0.5022102712392422,0.021936717994427663
4omini,Summeval,consistency,Raw,1.674236111111111,0.049512708349486664,1.2937859267617506,0.01913887966532393,1.0729027777777778,0.018091893510404744,0.4797584758919239,0.01905794542469758,0.4369393999604941,0.016828262517293895,0.5568603195908756,0.02171747933607426
4omini,Summeval,consistency,Weighted Sum,1.5478838350787025,0.04002636170561523,1.2440395618466034,0.016062495593883785,1.0657368064263875,0.017140511693134915,0.47836844573439985,0.020146675793500393,0.3833135359594646,0.01637354759543289,0.5994300493770514,0.02278894826869415
4omini,Summeval,fluency,Raw,7.099273148148148,0.13661934340225418,2.664327219783009,0.025602008370014317,2.393013888888889,0.029346874187635905,0.050584126380731884,0.020974088405930662,0.04508821592510801,0.01813075349100961,0.09182047849693965,0.01788678654978161
4omini,Summeval,fluency,Weighted Sum,3.4117256222975874,0.05283165997333175,1.847032176512389,0.014303166715740756,1.7326187814355174,0.01630290896841555,0.3194829532493506,0.026308253463526075,0.25006467721204256,0.02089455742057364,0.3526403071514317,0.030110546437188246
4omini,Summeval,relevance,Raw,1.0094709358920873,0.0416092575517131,1.004519724938302,0.020621166777720197,0.7860761368377138,0.018854187283562716,0.5120081309930342,0.022408983716511535,0.42723433709830183,0.019408593136731565,0.5433697129880231,0.02471949740420952
