Model,Dataset,Dimension,Type,MSE,RMSE,MAE,Spearman,Kendall,Pearson
4omini,Dialsumm,coherence,Weighted Sum,3.7012411843323,1.923861009619016,1.6994345514380775,0.23017272545939035,0.17056701460024815,0.30895042217430146
4omini,Dialsumm,coherence,Raw,3.793650793650794,1.947729651068339,1.7123809523809526,0.2165524688235745,0.1811058925824352,0.29115871234734086
4omini,Dialsumm,consistency,Weighted Sum,0.8283613112051949,0.9101435662603976,0.7053114463764314,0.7003424045347011,0.5442749514258564,0.736700303330321
4omini,Dialsumm,consistency,Raw,0.9937211890001587,0.9968556510348721,0.7699093943729136,0.6574546494796998,0.5474411719481138,0.6915098217617249
4omini,Dialsumm,fluency,Weighted Sum,1.6811362256459246,1.296586374155584,1.0639492677329152,0.4453044635764824,0.3477053937037832,0.521564151113171
4omini,Dialsumm,fluency,Raw,2.117698412698413,1.4552313948985616,1.1721428571428572,0.40876175156274125,0.3520411718911852,0.4657400986170679
4omini,Dialsumm,relevance,Weighted Sum,1.168785630435732,1.0811038943763602,0.8547799206192842,0.700685527522296,0.5470898623028603,0.6988172308923991
4omini,Dialsumm,relevance,Raw,1.262416427889207,1.123573062995552,0.8722540592168099,0.6697717369476119,0.5648998889858275,0.6723621720009609
4omini,GEval,cosmos,Weighted Sum,1.698379457047036,1.303218883015066,1.0588601920484368,0.4988836498757869,0.37660025035291766,0.5144620577932161
4omini,GEval,cosmos,Raw,1.758974358974359,1.3262633068038785,1.0307692307692307,0.49717238458550844,0.41809674261446467,0.5000823943660639
4omini,GEval,drop,Weighted Sum,1.6299575891274376,1.2766979239927656,0.8898529239119067,0.5142532220277032,0.38924811082826033,0.5773613922903491
4omini,GEval,drop,Raw,1.8095238095238095,1.3451854182690985,0.9428571428571428,0.49082746632603924,0.41140513901750303,0.5367229515817327
4omini,GEval,esnli,Weighted Sum,2.5781612012527146,1.6056653453483745,1.209700175587509,0.3875781116821866,0.29511339608844434,0.37049071169598347
4omini,GEval,esnli,Raw,2.6754966887417218,1.6356945585107636,1.1920529801324504,0.37073923952771304,0.3140265365923576,0.3758267444522848
4omini,GEval,gsm8k,Weighted Sum,2.148015646784799,1.465611014827877,0.9250519356354968,0.5854027725736135,0.4651493587598146,0.5900596237091743
4omini,GEval,gsm8k,Raw,2.18,1.47648230602334,0.9,0.5957576453984486,0.5245136997105334,0.5890322615946288
4omini,SocREval,cosmos,Weighted Sum,1.7756460241363785,1.3325336859293195,1.0580216755953789,0.5099354047532472,0.3848708614962281,0.4842216391812201
4omini,SocREval,cosmos,Raw,1.9076923076923078,1.3811923499977503,1.087179487179487,0.4412687070586071,0.37178684054645406,0.44475127714621965
4omini,SocREval,drop,Weighted Sum,1.418214811328138,1.1908882446846716,0.9076494907290198,0.5626686222331503,0.4297647643064675,0.5897662951019882
4omini,SocREval,drop,Raw,2.9904761904761905,1.7292993351285921,1.2857142857142858,0.19978048828375825,0.16585081216841027,0.21294331340559158
4omini,SocREval,esnli,Weighted Sum,1.04255601969415,1.0210563254268346,0.8411279163267137,0.5841211833809291,0.4666946460553623,0.6287367187669097
4omini,SocREval,esnli,Raw,1.086092715231788,1.0421577209001467,0.8344370860927153,0.5520454494192878,0.4961037355896769,0.60392189219797
4omini,SocREval,gsm8k,Weighted Sum,1.6165696736484323,1.2714439325618854,0.7706424383010027,0.645795530403392,0.5218710296927583,0.6875579323650274
