Model,Dataset,Dimension,Type,MSE,MSE,RMSE,RMSE,MAE,MAE,Spearman,Spearman,Kendall,Kendall,Pearson,Pearson
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
4omini,Summeval,consistency,continuous_R2CCP,0.5104804854166667,0.05691884538601629,0.7134263172178982,0.03943622504456874,0.43247083333333336,0.047111581636383286,0.4553907832666017,0.028516869756789666,0.3707650380901073,0.02318585679500406,0.6610669166661823,0.03582904639671836
4omini,Summeval,consistency,discrete_R2CCP,0.5124284802083333,0.057502931823064,0.7147693883451767,0.039825503347625545,0.428370625,0.05501885222920966,0.5056397277943739,0.04522448577236631,0.4675478596462523,0.04373126341182608,0.6596281629676237,0.036116970247196435
4omini,Summeval,coherence,continuous_R2CCP,0.7910540959821428,0.04202506936997155,0.8891026664643188,0.02389424625384965,0.7164348214285715,0.01773434783841702,0.5115451682231079,0.027542618151483098,0.3727087730765851,0.020361610528550525,0.5184008760705096,0.029553017157691496
4omini,Summeval,coherence,discrete_R2CCP,0.7944622901785714,0.042102555251041666,0.8910179431667722,0.023867554092695767,0.7154897321428572,0.017736108463925065,0.5082099721684494,0.027639709081736595,0.3857910509255258,0.021419280540436795,0.5156745285650991,0.029500569257418223
4omini,Summeval,fluency,continuous_R2CCP,0.44246648020833335,0.03656840404227651,0.6646350722000133,0.027418236003329426,0.49130729166666665,0.043784920887212954,0.3297036183724871,0.023088506663983842,0.26098582050924674,0.018740139242410702,0.482741073270201,0.0491761373844075
4omini,Summeval,fluency,discrete_R2CCP,0.44343863541666667,0.03634414703864365,0.6653735998107213,0.027227168700337156,0.4878608333333333,0.044712649299314663,0.33562129611497116,0.026658894462487197,0.30041510976540897,0.024292658138944642,0.4785643873533799,0.047241727828386385
4omini,Summeval,relevance,continuous_R2CCP,0.41801817604166663,0.015000744945951577,0.6464429622921712,0.011582055588016492,0.508748125,0.010719551298338703,0.5458977667008038,0.02094967295387013,0.40331346542132995,0.016601621981596155,0.5916292245645796,0.020727750016208357
4omini,Summeval,relevance,discrete_R2CCP,0.422524078125,0.01626916899319812,0.6499022462504873,0.012504417574061608,0.5086268749999999,0.01154939636684866,0.540436284881068,0.023104842458389226,0.4230023128870666,0.020085474099259634,0.586060787646418,0.02147560214100466
4omini,Dialsumm,consistency,continuous_R2CCP,0.39139014449213166,0.022843500517270916,0.6253532715525564,0.01835501324134256,0.48862174535050074,0.01376324511763611,0.6876729860525878,0.023145520588366223,0.532322696747132,0.02087936157291953,0.7969733180486931,0.011334954342425976
