Model,Dataset,Dimension,Type,MSE,RMSE,MAE,Spearman,Kendall,Pearson
4omini,Dialsumm,coherence,Raw,3.7872010582010582,1.9459508110443546,1.7106507936507935,0.20486208184208154,0.17198332319351134,0.28336483668453977
4omini,Dialsumm,coherence,Weighted Sum,3.701023362217591,1.9236902669559883,1.6986439712687067,0.2181463347741553,0.1622260052396582,0.2994050750154825
4omini,Dialsumm,consistency,Raw,0.9997774598632966,0.9997367348932593,0.772277857256398,0.6559258669803396,0.5465003583840322,0.6890973811163371
4omini,Dialsumm,consistency,Weighted Sum,0.8248072550399743,0.9080581270549775,0.7038673451583818,0.7015355871567546,0.5460023546392089,0.7376856151019383
4omini,Dialsumm,fluency,Raw,2.1106666666666665,1.4526439677344354,1.1705714285714286,0.3997298062349086,0.3442901292699035,0.45851393349298775
4omini,Dialsumm,fluency,Weighted Sum,1.6878560914137644,1.2990510734609455,1.0657081070887726,0.43361683469790085,0.3384940940998369,0.512165512663099
4omini,Dialsumm,relevance,Raw,1.2780112490714208,1.1302269160224632,0.873766316459726,0.667963823686082,0.5637319757685512,0.6691902846877409
4omini,Dialsumm,relevance,Weighted Sum,1.174704721835862,1.0835933363641375,0.8553197366525799,0.7025486959971067,0.5491629940990672,0.6989933157958796
4omini,GEval,cosmos,Raw,1.7799319727891156,1.3325132499405352,1.0438775510204081,0.48339573810356756,0.4062841914644048,0.48714845763948955
4omini,GEval,cosmos,Weighted Sum,1.7037501883751796,1.303607110465009,1.0651179591035973,0.4902334981799992,0.37092240167464535,0.5067793422179593
4omini,GEval,drop,Raw,1.8434920634920635,1.356578872806536,0.9514285714285714,0.4904249499299416,0.4108713129466085,0.5381987914417544
4omini,GEval,drop,Weighted Sum,1.6513672708377343,1.2839768251262125,0.8937089177478365,0.5160442287815473,0.39097882253884186,0.5794768265779094
4omini,GEval,esnli,Raw,2.719298245614035,1.6462517537514667,1.2096491228070176,0.33950796234998587,0.2878546384666004,0.34783873027619144
4omini,GEval,esnli,Weighted Sum,2.609653023443699,1.6128044121460114,1.221363444244663,0.35734501524339407,0.2727827081826383,0.3441621566441085
4omini,GEval,gsm8k,Raw,2.216,1.4856533820223692,0.9086666666666667,0.5864244299551657,0.5156331587573753,0.5809937203863053
4omini,GEval,gsm8k,Weighted Sum,2.169058200212955,1.4700987088872828,0.935656620164857,0.57734817940771,0.4579255238494739,0.583973675469108
4omini,SocREval,cosmos,Raw,1.9272108843537414,1.3866851377559148,1.0993197278911564,0.4222717823908424,0.35723182920042346,0.42746496771945874
4omini,SocREval,cosmos,Weighted Sum,1.7896901394565938,1.3362455064646173,1.0652227057589783,0.4872283214020722,0.36901810105524185,0.47079713508114873
4omini,SocREval,drop,Raw,2.9692063492063494,1.7212336655870604,1.2834920634920635,0.20227390613660612,0.16794441661880768,0.2137850805127718
